filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_376.nii.gz,0.325,0.852,0.201,0.091,0.523,0.050,0.454,0.712,0.333,0.427,0.779,0.294,0.613,0.752,0.517
BRATS_377.nii.gz,0.883,0.818,0.961,0.081,0.156,0.055,0.831,0.815,0.846,0.873,0.789,0.977,0.875,0.794,0.974
BRATS_378.nii.gz,0.541,0.577,0.509,0.538,0.373,0.966,0.587,0.419,0.980,0.901,0.832,0.982,0.866,0.772,0.987
BRATS_379.nii.gz,0.510,0.886,0.359,0.337,0.761,0.217,0.529,0.734,0.413,0.886,0.838,0.939,0.617,0.921,0.464
BRATS_380.nii.gz,0.760,0.799,0.724,0.002,0.001,1.000,0.640,0.487,0.933,0.830,0.846,0.815,0.764,0.859,0.689
BRATS_381.nii.gz,0.804,0.673,0.998,0.002,0.001,1.000,0.595,0.426,0.985,0.837,0.721,0.996,0.885,0.800,0.990
BRATS_382.nii.gz,0.800,0.701,0.931,0.523,0.357,0.977,0.718,0.617,0.860,0.833,0.748,0.940,0.798,0.707,0.916
BRATS_383.nii.gz,0.733,0.613,0.909,0.001,0.000,1.000,0.521,0.488,0.560,0.819,0.733,0.927,0.831,0.731,0.963
BRATS_384.nii.gz,0.682,0.874,0.560,0.226,0.590,0.140,0.556,0.389,0.975,0.670,0.880,0.541,0.690,0.837,0.586
BRATS_385.nii.gz,0.678,0.559,0.863,0.001,0.000,1.000,0.749,0.647,0.890,0.924,0.886,0.965,0.892,0.814,0.987
BRATS_386.nii.gz,0.669,0.897,0.533,0.391,0.479,0.330,0.580,0.522,0.652,0.687,0.804,0.600,0.483,0.882,0.332
BRATS_387.nii.gz,0.558,0.388,0.999,0.541,0.695,0.443,0.541,0.372,0.992,0.686,0.598,0.804,0.716,0.635,0.821
BRATS_388.nii.gz,0.859,0.780,0.955,0.444,0.297,0.883,0.814,0.695,0.983,0.819,0.702,0.984,0.853,0.764,0.965
BRATS_389.nii.gz,0.535,0.940,0.374,0.535,0.559,0.513,0.495,0.532,0.463,0.512,0.869,0.363,0.783,0.867,0.713
BRATS_390.nii.gz,0.854,0.953,0.773,0.445,0.976,0.288,0.813,0.684,1.000,0.763,0.982,0.624,0.891,0.942,0.846
BRATS_391.nii.gz,0.816,0.694,0.990,0.001,0.000,1.000,0.631,0.498,0.861,0.905,0.840,0.980,0.825,0.703,0.998
BRATS_392.nii.gz,0.755,0.763,0.747,0.686,0.528,0.978,0.750,0.647,0.893,0.849,0.839,0.860,0.863,0.846,0.880
BRATS_393.nii.gz,0.862,0.803,0.930,0.001,0.000,1.000,0.706,0.696,0.716,0.871,0.792,0.967,0.762,0.796,0.730
BRATS_394.nii.gz,0.864,0.860,0.869,0.001,0.000,1.000,0.715,0.638,0.813,0.911,0.857,0.972,0.895,0.821,0.984
BRATS_395.nii.gz,0.770,0.663,0.919,0.561,0.406,0.906,0.750,0.617,0.957,0.798,0.698,0.931,0.718,0.560,1.000
BRATS_396.nii.gz,0.804,0.673,0.998,0.001,0.000,1.000,0.694,0.686,0.703,0.812,0.683,1.000,0.777,0.636,1.000
BRATS_397.nii.gz,0.886,0.810,0.979,0.001,0.000,1.000,0.691,0.528,0.997,0.891,0.807,0.994,0.862,0.760,0.995
BRATS_398.nii.gz,0.737,0.585,0.997,0.001,0.000,1.000,0.681,0.543,0.915,0.687,0.523,1.000,0.695,0.533,1.000
BRATS_399.nii.gz,0.822,0.706,0.983,0.841,0.731,0.991,0.602,0.434,0.983,0.911,0.847,0.985,0.917,0.857,0.986
BRATS_400.nii.gz,0.650,0.578,0.743,0.001,0.000,1.000,0.420,0.322,0.602,0.868,0.806,0.941,0.819,0.718,0.952
BRATS_401.nii.gz,0.802,0.769,0.838,0.427,0.291,0.799,0.813,0.700,0.970,0.738,0.665,0.828,0.813,0.785,0.843
BRATS_402.nii.gz,0.622,0.529,0.754,0.001,0.000,1.000,0.639,0.547,0.770,0.367,0.720,0.246,0.759,0.697,0.834
BRATS_403.nii.gz,0.512,0.561,0.471,0.117,0.152,0.095,0.519,0.350,1.000,0.484,0.573,0.418,0.645,0.476,1.000
BRATS_404.nii.gz,0.687,0.523,1.000,0.666,0.500,1.000,0.704,0.546,0.993,0.691,0.527,1.000,0.693,0.531,1.000
BRATS_405.nii.gz,0.773,0.888,0.684,0.274,0.786,0.166,0.650,0.707,0.602,0.675,0.925,0.532,0.441,0.838,0.299
BRATS_406.nii.gz,0.658,0.928,0.510,0.155,0.648,0.088,0.247,0.141,1.000,0.517,0.881,0.366,0.655,0.941,0.502
BRATS_407.nii.gz,0.875,0.805,0.958,0.232,0.131,1.000,0.744,0.593,0.999,0.863,0.782,0.963,0.886,0.803,0.989
BRATS_408.nii.gz,0.496,0.873,0.347,0.396,0.248,0.980,0.495,0.589,0.427,0.328,0.878,0.202,0.346,0.870,0.216
BRATS_409.nii.gz,0.819,0.789,0.851,0.001,0.000,1.000,0.651,0.596,0.716,0.882,0.807,0.973,0.911,0.871,0.954
BRATS_410.nii.gz,0.882,0.791,0.995,0.784,0.663,0.958,0.713,0.635,0.813,0.877,0.781,1.000,0.880,0.785,0.999
BRATS_411.nii.gz,0.755,0.608,0.994,0.000,0.000,1.000,0.413,0.299,0.664,0.099,0.064,0.213,0.105,0.068,0.235
BRATS_412.nii.gz,0.721,0.601,0.902,0.001,0.000,1.000,0.713,0.579,0.926,0.759,0.625,0.967,0.759,0.614,0.995
BRATS_413.nii.gz,0.434,0.687,0.317,0.002,0.001,1.000,0.296,0.276,0.319,0.232,0.740,0.138,0.373,0.803,0.243
BRATS_414.nii.gz,0.698,0.538,0.994,0.634,0.466,0.993,0.640,0.503,0.882,0.605,0.434,0.999,0.625,0.455,0.997
BRATS_415.nii.gz,0.726,0.664,0.801,0.400,0.250,0.993,0.742,0.590,1.000,0.742,0.654,0.858,0.779,0.638,1.000
BRATS_416.nii.gz,0.926,0.865,0.996,0.001,0.000,1.000,0.792,0.656,1.000,0.927,0.864,0.999,0.914,0.842,1.000
BRATS_417.nii.gz,0.539,0.388,0.879,0.321,0.446,0.250,0.530,0.360,1.000,0.882,0.813,0.964,0.872,0.799,0.962
BRATS_418.nii.gz,0.425,0.463,0.393,0.130,0.327,0.082,0.533,0.407,0.773,0.469,0.307,0.995,0.568,0.859,0.424
BRATS_419.nii.gz,0.823,0.761,0.896,0.252,0.557,0.162,0.569,0.397,1.000,0.871,0.792,0.966,0.863,0.762,0.996
BRATS_420.nii.gz,0.653,0.647,0.660,0.001,0.000,1.000,0.548,0.592,0.510,0.713,0.675,0.756,0.762,0.619,0.990
BRATS_421.nii.gz,0.851,0.760,0.966,0.001,0.000,1.000,0.539,0.379,0.932,0.784,0.749,0.823,0.779,0.733,0.831
BRATS_422.nii.gz,0.649,0.481,0.998,0.001,0.000,1.000,0.630,0.470,0.954,0.850,0.740,1.000,0.799,0.666,1.000
BRATS_423.nii.gz,0.693,0.766,0.632,0.001,0.000,1.000,0.597,0.657,0.547,0.733,0.822,0.662,0.745,0.813,0.688
BRATS_424.nii.gz,0.777,0.739,0.820,0.001,0.000,1.000,0.134,0.072,1.000,0.723,0.792,0.666,0.848,0.876,0.822
BRATS_425.nii.gz,0.388,0.773,0.259,0.001,0.000,1.000,0.706,0.546,1.000,0.344,0.893,0.213,0.693,0.734,0.655
BRATS_426.nii.gz,0.738,0.621,0.910,0.538,0.490,0.596,0.683,0.637,0.736,0.715,0.591,0.907,0.753,0.633,0.931
BRATS_427.nii.gz,0.718,0.607,0.878,0.601,0.431,0.990,0.018,0.009,1.000,0.685,0.600,0.797,0.814,0.781,0.849
BRATS_428.nii.gz,0.677,0.528,0.944,0.304,0.631,0.201,0.581,0.525,0.650,0.710,0.573,0.933,0.749,0.615,0.957
BRATS_429.nii.gz,0.643,0.695,0.599,0.477,0.313,1.000,0.710,0.550,1.000,0.544,0.676,0.456,0.543,0.603,0.494
BRATS_430.nii.gz,0.816,0.910,0.740,0.364,0.934,0.226,0.407,0.431,0.386,0.743,0.919,0.624,0.554,0.935,0.394
BRATS_431.nii.gz,0.810,0.789,0.833,0.503,0.342,0.951,0.547,0.527,0.569,0.631,0.495,0.872,0.506,0.478,0.537
BRATS_432.nii.gz,0.707,0.803,0.631,0.350,0.555,0.256,0.590,0.547,0.641,0.855,0.768,0.964,0.834,0.771,0.907
BRATS_433.nii.gz,0.896,0.867,0.926,0.001,0.000,1.000,0.763,0.617,1.000,0.728,0.625,0.871,0.901,0.870,0.935
BRATS_434.nii.gz,0.313,0.186,1.000,0.456,0.718,0.334,0.752,0.607,0.987,0.598,0.857,0.459,0.296,0.174,1.000
BRATS_435.nii.gz,0.722,0.649,0.813,0.710,0.577,0.924,0.789,0.665,0.969,0.882,0.841,0.926,0.871,0.836,0.909
BRATS_436.nii.gz,0.830,0.923,0.753,0.530,0.809,0.394,0.795,0.661,0.998,0.814,0.913,0.734,0.836,0.827,0.845
BRATS_437.nii.gz,0.678,0.604,0.774,0.001,0.000,1.000,0.465,0.324,0.822,0.816,0.791,0.841,0.828,0.818,0.837
BRATS_438.nii.gz,0.483,0.573,0.417,0.129,0.557,0.073,0.619,0.448,0.998,0.297,0.693,0.189,0.815,0.701,0.973
BRATS_439.nii.gz,0.786,0.666,0.958,0.001,0.000,1.000,0.415,0.269,0.904,0.738,0.610,0.936,0.577,0.422,0.911
BRATS_440.nii.gz,0.650,0.539,0.818,0.153,0.368,0.097,0.288,0.168,1.000,0.377,0.791,0.248,0.860,0.767,0.979
BRATS_441.nii.gz,0.627,0.633,0.622,0.001,0.000,1.000,0.615,0.566,0.674,0.617,0.651,0.586,0.694,0.670,0.720
BRATS_442.nii.gz,0.704,0.677,0.733,0.001,0.000,1.000,0.773,0.630,1.000,0.644,0.630,0.658,0.805,0.704,0.939
BRATS_443.nii.gz,0.834,0.762,0.921,0.141,0.479,0.083,0.578,0.545,0.614,0.378,0.772,0.250,0.839,0.772,0.919
BRATS_444.nii.gz,0.651,0.707,0.604,0.001,0.001,1.000,0.518,0.594,0.459,0.523,0.719,0.411,0.660,0.912,0.517
